epoch,accuracy,loss,val_accuracy,val_loss
0,0.3933333456516266,1.0844216346740723,0.46666666865348816,1.0127882957458496
1,0.4466666579246521,1.017351746559143,0.46666666865348816,1.0122145414352417
2,0.4958333373069763,0.9789520502090454,0.5541666746139526,0.94953453540802
3,0.5525000095367432,0.9385327100753784,0.5708333253860474,0.9038770198822021
4,0.5525000095367432,0.9155324101448059,0.6208333373069763,0.8786420822143555
5,0.5441666841506958,0.8795719146728516,0.6000000238418579,0.8539543747901917
6,0.5958333611488342,0.8549005389213562,0.6166666746139526,0.8388139605522156
7,0.5991666913032532,0.8234215378761292,0.6416666507720947,0.8106691837310791
8,0.621666669845581,0.8118883371353149,0.5666666626930237,0.8385053873062134
9,0.6175000071525574,0.7991454601287842,0.6499999761581421,0.8039823174476624
10,0.6324999928474426,0.7909321784973145,0.5458333492279053,0.8246402144432068
11,0.6266666650772095,0.781892716884613,0.6208333373069763,0.8099859356880188
12,0.6391666531562805,0.7717987895011902,0.6541666388511658,0.7705433368682861
13,0.6483333110809326,0.7545087933540344,0.6291666626930237,0.7698102593421936
14,0.6658333539962769,0.7325347065925598,0.6833333373069763,0.7511063814163208
15,0.6783333420753479,0.7166446447372437,0.6458333134651184,0.8094558119773865
16,0.6883333325386047,0.7074575424194336,0.6666666865348816,0.7444145083427429
17,0.6600000262260437,0.7202485799789429,0.6625000238418579,0.778988242149353
18,0.6899999976158142,0.697952151298523,0.6916666626930237,0.7225682735443115
19,0.6883333325386047,0.6867544651031494,0.6958333253860474,0.7151815295219421
20,0.715833306312561,0.6748684048652649,0.637499988079071,0.7307196259498596
21,0.7166666388511658,0.6632617712020874,0.7124999761581421,0.7040239572525024
22,0.721666693687439,0.6464924216270447,0.6708333492279053,0.7248818874359131
23,0.7174999713897705,0.648493230342865,0.7166666388511658,0.685563862323761
24,0.7124999761581421,0.6444554924964905,0.699999988079071,0.6906328797340393
25,0.7183333039283752,0.6269029974937439,0.6958333253860474,0.7038783431053162
26,0.737500011920929,0.6178138256072998,0.6958333253860474,0.6790730953216553
27,0.7316666841506958,0.6163511276245117,0.7041666507720947,0.6731188297271729
28,0.7383333444595337,0.6054752469062805,0.7166666388511658,0.6571818590164185
29,0.746666669845581,0.6029277443885803,0.6875,0.696951150894165
30,0.7491666674613953,0.5883913636207581,0.6958333253860474,0.6525461673736572
31,0.7483333349227905,0.566461980342865,0.699999988079071,0.6847166419029236
32,0.7491666674613953,0.5697524547576904,0.7208333611488342,0.6189959049224854
33,0.7741666436195374,0.5408461689949036,0.7208333611488342,0.6363316178321838
34,0.7791666388511658,0.547317624092102,0.7041666507720947,0.6409621834754944
35,0.7608333230018616,0.5600217580795288,0.7666666507720947,0.5863199234008789
36,0.7774999737739563,0.5414862036705017,0.7333333492279053,0.6190544366836548
37,0.7508333325386047,0.5732311010360718,0.637499988079071,0.7491301894187927
38,0.7741666436195374,0.5394993424415588,0.7208333611488342,0.637405276298523
39,0.7808333039283752,0.5211411118507385,0.7208333611488342,0.6175053715705872
40,0.7950000166893005,0.5161570906639099,0.7541666626930237,0.5882925391197205
41,0.7908333539962769,0.5079787969589233,0.7208333611488342,0.6291923522949219
42,0.7908333539962769,0.5168493390083313,0.7333333492279053,0.6539910435676575
43,0.7908333539962769,0.5101849436759949,0.7833333611488342,0.5559152960777283
44,0.7933333516120911,0.5005139708518982,0.7416666746139526,0.5910904407501221
45,0.8033333420753479,0.4812239706516266,0.7458333373069763,0.5766099691390991
46,0.8108333349227905,0.4673020839691162,0.7833333611488342,0.5455845594406128
47,0.7875000238418579,0.5043971538543701,0.762499988079071,0.5756893157958984
48,0.7958333492279053,0.47784602642059326,0.75,0.5645312070846558
49,0.7941666841506958,0.47856226563453674,0.7583333253860474,0.5736246705055237
50,0.8050000071525574,0.47606536746025085,0.762499988079071,0.608870804309845
51,0.815833330154419,0.46271902322769165,0.7124999761581421,0.621248185634613
52,0.8083333373069763,0.4591312110424042,0.762499988079071,0.5591146945953369
53,0.8141666650772095,0.4423990845680237,0.7583333253860474,0.5572541952133179
